id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-001,Weedle,1,Common,2026-07-06T18:05:01.396Z,EUR,886393,0.05,0.02,0.04,0.04,0.04,0.05,0.11,0.02,0.08,0.06,0.09,0.11,2026-07-06T18:05:01.021Z,USD,693561.0,0.01,0.24,1.74,0.18,0.16,693561.0,0.01,0.15,5.0,0.09,,,,,,,
me04-001,Weedle,1,Common,2026-07-07T18:05:09.149Z,EUR,886393,0.05,0.02,0.04,0.04,0.04,0.05,0.11,0.02,0.08,0.06,0.09,0.11,2026-07-07T18:05:06.951Z,USD,693561.0,0.01,0.25,2.75,0.24,0.4,693561.0,0.01,0.15,5.0,0.1,,,,,,,
me04-001,Weedle,1,Common,2026-07-08T18:05:11.087Z,EUR,886393,0.05,0.02,0.04,0.03,0.04,0.05,0.11,0.02,0.08,0.07,0.09,0.11,2026-07-08T18:05:07.571Z,USD,693561.0,0.01,0.25,1.74,0.23,0.25,693561.0,0.01,0.15,5.0,0.09,0.05,,,,,,
me04-001,Weedle,1,Common,2026-07-09T18:05:09.065Z,EUR,886393,0.05,0.02,0.04,0.04,0.04,0.04,0.11,0.02,0.08,0.14,0.1,0.11,2026-07-09T18:05:06.660Z,USD,693561.0,0.01,0.25,1.74,0.19,0.4,693561.0,0.01,0.15,5.0,0.18,0.05,,,,,,
me04-001,Weedle,1,Common,2026-07-10T18:05:08.528Z,EUR,886393,0.05,0.02,0.04,0.03,0.04,0.04,0.11,0.02,0.08,0.04,0.08,0.11,2026-07-10T18:05:06.309Z,USD,693561.0,0.01,0.23,10.01,0.2,0.4,693561.0,0.01,0.18,10.01,0.19,,,,,,,
me04-001,Weedle,1,Common,2026-07-11T18:05:07.832Z,EUR,886393,0.05,0.02,0.04,0.03,0.04,0.04,0.11,0.02,0.07,0.04,0.08,0.11,2026-07-11T18:05:05.951Z,USD,693561.0,0.01,0.24,1.74,0.21,0.4,693561.0,0.01,0.16,5.0,0.16,0.06,,,,,,
me04-001,Weedle,1,Common,2026-07-12T18:05:09.094Z,EUR,886393,0.05,0.02,0.04,0.03,0.04,0.04,0.11,0.02,0.07,0.04,0.08,0.11,2026-07-12T18:05:07.281Z,USD,693561.0,0.01,0.25,1.99,0.23,0.5,693561.0,0.01,0.17,5.0,0.13,,,,,,,
me04-001,Weedle,1,Common,2026-07-13T18:05:07.999Z,EUR,886393,0.05,0.02,0.04,0.02,0.04,0.04,0.11,0.02,0.07,0.07,0.08,0.1,2026-07-13T18:05:06.325Z,USD,693561.0,0.01,0.25,20.0,0.28,0.62,693561.0,0.01,0.15,5.0,0.13,,,,,,,
me04-001,Weedle,1,Common,2026-07-14T18:05:08.086Z,EUR,886393,0.05,0.02,0.04,0.02,0.04,0.04,0.11,0.02,0.07,0.07,0.08,0.1,2026-07-14T18:05:05.984Z,USD,693561.0,0.01,0.25,20.0,0.29,0.31,693561.0,0.01,0.15,5.0,0.11,0.06,,,,,,
me04-001,Weedle,1,Common,2026-07-15T18:05:08.182Z,EUR,886393,0.05,0.02,0.04,0.02,0.04,0.04,0.11,0.02,0.07,0.07,0.08,0.1,2026-07-15T18:05:06.072Z,USD,693561.0,0.01,0.25,20.0,0.22,0.24,693561.0,0.01,0.15,6.08,0.08,0.04,,,,,,
me04-001,Weedle,1,Common,2026-07-16T18:05:08.631Z,EUR,886393,0.05,0.02,0.04,0.02,0.04,0.04,0.11,0.02,0.08,0.07,0.08,0.1,2026-07-16T18:05:05.995Z,USD,693561.0,0.01,0.25,20.0,0.22,0.2,693561.0,0.01,0.15,6.11,0.09,0.03,,,,,,
