id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-001,Tropius,1,Common,2026-07-18T08:02:59.776Z,EUR,895789,0.02,0.02,0.03,0.05,0.05,0.05,,0.03,0.16,0.04,0.04,0.04,2026-07-18T08:02:56.983Z,USD,704758.0,0.01,0.19,27.0,0.09,704758.0,0.02,0.21,5.0,0.09,,,,,
me05-001,Tropius,1,Common,2026-07-19T08:03:04.558Z,EUR,895789,0.02,0.02,0.03,0.05,0.05,0.05,,0.02,0.15,0.04,0.04,0.04,2026-07-19T08:03:02.366Z,USD,704758.0,0.01,0.15,100.0,0.05,704758.0,0.02,0.2,5.0,0.08,,,,,
me05-001,Tropius,1,Common,2026-07-20T08:03:04.265Z,EUR,895789,0.02,0.02,0.03,0.03,0.04,0.04,,0.02,0.13,0.08,0.1,0.1,2026-07-20T08:03:02.229Z,USD,704758.0,0.01,0.15,1.65,0.04,704758.0,0.01,0.2,2.0,0.1,,,,,
me05-002,Grubbin,2,Common,2026-07-18T08:02:59.776Z,EUR,895790,0.09,0.02,0.02,0.02,0.06,0.06,,0.02,0.14,0.1,0.07,0.07,2026-07-18T08:02:56.983Z,USD,704759.0,0.01,0.15,2.04,0.04,704759.0,0.02,0.2,4.0,0.11,,,,,
me05-002,Grubbin,2,Common,2026-07-19T08:03:04.558Z,EUR,895790,0.09,0.02,0.02,0.02,0.06,0.06,,0.02,0.14,0.1,0.07,0.07,2026-07-19T08:03:02.366Z,USD,704759.0,0.01,0.15,100.0,0.04,704759.0,0.01,0.19,4.0,0.1,,,,,
me05-002,Grubbin,2,Common,2026-07-20T08:03:04.811Z,EUR,895790,0.09,0.02,0.02,0.03,0.04,0.04,,0.02,0.12,0.06,0.11,0.1,2026-07-20T08:03:02.229Z,USD,704759.0,0.01,0.15,1.65,0.07,704759.0,0.01,0.18,4.0,0.11,,,,,
me05-003,Fomantis,3,Common,2026-07-18T08:02:59.776Z,EUR,895791,0.02,0.02,0.08,0.02,0.02,0.02,0.05,0.03,0.16,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704760.0,0.01,0.2,100.0,0.07,704760.0,0.01,0.25,4.0,0.18,,,,,
me05-003,Fomantis,3,Common,2026-07-19T08:03:04.558Z,EUR,895791,0.02,0.02,0.07,0.02,0.02,0.02,0.05,0.02,0.16,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704760.0,0.01,0.15,100.0,0.07,704760.0,0.01,0.24,4.0,0.13,,,,,
me05-003,Fomantis,3,Common,2026-07-20T08:03:04.265Z,EUR,895791,0.02,0.02,0.06,0.03,0.04,0.04,0.05,0.02,0.15,0.1,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704760.0,0.01,0.15,100.0,0.07,704760.0,0.01,0.22,4.0,0.13,,,,,
me05-004,Lurantis ex,4,Double rare,2026-07-18T08:02:59.776Z,EUR,895792,0.49,0.1,1.21,0.29,0.36,0.36,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704761.0,0.15,0.7,6.0,0.38
