id,name,localId,rarity,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,tp_holofoil_productId,tp_normal_productId,tp_reverse_holofoil_productId,tp_1st_edition_productId,tp_unlimited_productId,cm_avg1,cm_avg1_holo,tp_normal_marketPrice,tp_holofoil_marketPrice,tp_reverse_holofoil_marketPrice,tp_1st_edition_marketPrice,tp_unlimited_marketPrice
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-08T18:05:07.095Z,USD,2026-07-08T18:05:10.686Z,EUR,281657.0,110410.0,,,,,7.97,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-09T18:05:06.367Z,USD,2026-07-09T18:05:09.065Z,EUR,281657.0,110410.0,,,,,7.97,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-10T18:05:06.000Z,USD,2026-07-10T18:05:08.528Z,EUR,281657.0,110410.0,,,,,7.97,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-11T18:05:05.671Z,USD,2026-07-11T18:05:08.177Z,EUR,281657.0,110410.0,,,,,7.97,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-12T18:05:06.965Z,USD,2026-07-12T18:05:18.426Z,EUR,281657.0,110410.0,,,,,7.97,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-13T18:05:05.903Z,USD,2026-07-13T18:05:07.901Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-14T18:05:05.637Z,USD,2026-07-14T18:05:08.458Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-15T18:05:05.665Z,USD,2026-07-15T18:05:08.182Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,39.66,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-16T18:05:05.719Z,USD,2026-07-16T18:05:08.298Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,35.63,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-17T18:05:07.061Z,USD,2026-07-17T18:05:09.271Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,35.63,,,
2014xy-5,Pikachu,5,Promo,McDonald's Collection 2014,2026-07-18T08:02:56.704Z,USD,2026-07-18T08:02:59.776Z,EUR,281657.0,110410.0,,,,,11.39,15.96,,35.63,,,
