id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
basep-1,Pikachu,1,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fut2020-1,Pikachu on the Ball,1,None,,,Pokémon Futsal 2020,,,2026-07-19T08:03:04.658Z,EUR,506930.0,125.0,115.0,187.59,125.0,154.24,173.92,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024sv-2,Pikachu,2,None,,,McDonald's Collection 2024,,,2026-07-19T08:03:04.658Z,EUR,802824.0,1.85,0.05,2.06,1.99,1.71,1.94,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basep-4,Pikachu,4,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018sm-4,Pikachu,4,None,,,McDonald's Collection 2018,2026-07-19T08:03:02.188Z,USD,2026-07-19T08:03:04.658Z,EUR,366772.0,12.62,1.0,13.8,15.0,14.05,10.37,,,5.68,3.99,6.1,3.7,180452.0,28.0,34.39,309.8,40.81,,,,,,,,,,,,,,,,,,,,,,,,,
2017sm-5,Pikachu,5,None,,,McDonald's Collection 2017,2026-07-19T08:03:02.162Z,USD,2026-07-19T08:03:04.658Z,EUR,301847.0,11.69,1.0,14.73,19.98,12.39,10.27,,,10.21,15.45,9.59,6.48,152685.0,14.22,28.98,300.8,28.11,,,,,,,,,,,,,,,,,,,,,,,,,
2014xy-5,Pikachu,5,None,,,McDonald's Collection 2014,2026-07-19T08:03:02.086Z,USD,2026-07-19T08:03:04.658Z,EUR,281657.0,6.25,3.5,1.76,9.99,6.3,8.41,,,12.9,14.0,9.21,7.04,110410.0,98.88,249.99,700.99,35.63,,,,,,,,,,,,,,,,,,,,,,,,,
cel25-5,Pikachu,5,Holo Rare,,,Celebrations,2026-07-19T08:03:02.248Z,USD,2026-07-19T08:03:04.658Z,EUR,576750.0,5.29,2.5,4.7,4.48,4.89,5.55,,,0.0,,,,250303.0,3.0,7.44,4321.0,5.92,5.97,,,,,,,,,,,,,,,,,,,,,,,,
ex5.5-5,Pikachu,5,None,,,Poké Card Creator Pack,,,2026-07-19T08:03:04.658Z,EUR,605996.0,400.0,40000.0,400.0,400.0,400.0,400.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016xy-6,Pikachu,6,None,,,McDonald's Collection 2016,2026-07-19T08:03:02.142Z,USD,2026-07-19T08:03:04.658Z,EUR,295142.0,14.57,1.4,20.62,6.5,25.22,15.6,,,6.09,3.5,6.0,4.69,275062.0,74.99,95.0,131.97,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019sm-6,Pikachu,6,None,,,McDonald's Collection 2019,2026-07-19T08:03:02.209Z,USD,2026-07-19T08:03:04.658Z,EUR,412874.0,8.67,0.5,7.47,1.99,7.44,9.76,,,8.67,5.0,11.67,9.23,200967.0,28.5,69.68,498.03,34.47,449.99,,,,,,,,,,,,,,,,,,,,,,,,
2015xy-6,Pikachu,6,None,,,McDonald's Collection 2015,2026-07-19T08:03:02.122Z,USD,2026-07-19T08:03:04.658Z,EUR,293322.0,27.09,1.75,21.29,30.0,21.07,14.68,,,10.31,20.0,9.54,9.62,110424.0,13.98,36.01,9999.0,34.72,,,,,,,,,,,,,,,,,,,,,,,,,
2023sv-6,Pikachu,6,None,,,McDonald's Collection 2023,,,2026-07-19T08:03:04.658Z,EUR,725423.0,1.78,0.15,1.42,0.57,1.65,1.77,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
