id,name,localId,rarity,supertype,subtypes,set,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
2018sm-2,Psyduck,2,None,,,McDonald's Collection 2018,2026-07-12T18:05:08.999Z,EUR,366770.0,15.32,0.9,19.23,15.0,15.84,12.78,,,1.63,0.49,1.35,1.7,2026-07-12T18:05:07.063Z,USD,180451.0,20.61,199.0,699.4,66.07,,,,,,,,,,,,,,,,,,,,,,,,,
det1-7,Psyduck,7,Common,,,Detective Pikachu,2026-07-12T18:05:08.999Z,EUR,370626.0,0.57,0.02,0.64,0.7,0.6,0.62,0.9,0.05,1.06,0.8,0.9,0.67,2026-07-12T18:05:07.082Z,USD,186010.0,0.2,1.02,7.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,
mep-007,Psyduck,007,Promo,,,MEP Black Star Promos,2026-07-12T18:05:08.999Z,EUR,851053.0,7.24,0.74,3.16,2.26,6.12,7.61,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm115-11,Psyduck,11,Common,,,Hidden Fates,2026-07-12T18:05:08.999Z,EUR,394772.0,0.1,0.02,0.16,0.1,0.12,0.1,3.61,0.75,4.63,5.75,4.45,2.73,2026-07-12T18:05:07.090Z,USD,,,,,,,197653.0,0.05,0.35,5.0,0.35,0.19,197653.0,2.99,4.0,19.98,3.91,,,,,,,,,,,,,
xy9-16,Psyduck,16,Common,,,BREAKpoint,2026-07-12T18:05:08.999Z,EUR,288191.0,0.86,0.02,0.79,0.47,0.79,0.8,14.84,0.08,21.5,69.95,20.98,9.6,2026-07-12T18:05:06.994Z,USD,,,,,,,111519.0,0.31,1.28,19.99,1.41,,111519.0,4.0,13.18,199.9,14.16,,,,,,,,,,,,,
basep-20,Psyduck,20,Common,,,Wizards Black Star Promos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swsh7-24,Psyduck,24,Common,,,Evolving Skies,2026-07-12T18:05:08.999Z,EUR,574048.0,0.08,0.02,0.13,0.31,0.12,0.08,0.34,0.05,0.43,0.32,0.47,0.39,2026-07-12T18:05:07.133Z,USD,,,,,,,246816.0,0.04,0.29,19.92,0.29,0.15,246816.0,0.15,0.5,4321.0,0.48,,,,,,,,,,,,,
sm9-26,Psyduck,26,Common,,,Team Up,2026-07-12T18:05:08.999Z,EUR,368958.0,0.3,0.02,0.31,0.08,0.16,0.28,2.93,0.1,5.39,13.0,3.15,5.23,2026-07-12T18:05:07.069Z,USD,,,,,,,183797.0,0.35,1.0,19.98,1.03,,183797.0,12.5,17.99,39.96,17.8,17.99,,,,,,,,,,,,
swsh10-028,Psyduck,028,Common,,,Astral Radiance,2026-07-12T18:05:08.999Z,EUR,658533.0,0.08,0.02,0.09,0.13,0.07,0.08,0.26,0.02,0.33,0.25,0.43,0.3,2026-07-12T18:05:07.150Z,USD,,,,,,,272228.0,0.01,0.25,19.98,0.25,,272228.0,0.15,0.49,19.98,0.5,,,,,,,,,,,,,
sm1-28,Psyduck,28,Common,,,Sun & Moon,2026-07-12T18:05:08.999Z,EUR,295338.0,0.72,0.02,0.75,0.49,0.65,0.7,4.54,0.03,4.95,6.5,5.14,3.79,2026-07-12T18:05:07.016Z,USD,,,,,,,126899.0,0.25,0.97,20.0,1.05,,126899.0,3.49,7.16,500.0,7.03,,,,,,,,,,,,,
bw7-32,Psyduck,32,Common,,,Boundaries Crossed,2026-07-12T18:05:08.999Z,EUR,280619.0,9.42,0.1,11.01,14.99,7.5,5.17,10.0,25.0,35.83,10.0,23.29,16.34,2026-07-12T18:05:06.936Z,USD,,,,,,,88441.0,12.0,18.73,99.99,16.15,94.44,88441.0,149.99,150.0,175.0,23.77,,,,,,,,,,,,,
bw7-33,Psyduck,33,Common,,,Boundaries Crossed,2026-07-12T18:05:08.999Z,EUR,280619.0,9.42,0.1,11.01,14.99,7.5,5.17,10.0,25.0,35.83,10.0,23.29,16.34,2026-07-12T18:05:06.936Z,USD,,,,,,,88442.0,2.3,6.93,43.88,7.89,43.88,88442.0,97.0,103.5,199.99,25.33,,,,,,,,,,,,,
sm11-35,Slowpoke & Psyduck GX,35,Ultra Rare,,,Unified Minds,2026-07-12T18:05:08.999Z,EUR,377505.0,64.96,14.0,63.73,70.0,105.06,64.34,,,6.71,7.5,7.17,6.56,2026-07-12T18:05:07.088Z,USD,194953.0,134.14,169.34,752.88,135.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,
me02.5-039,Psyduck,039,Common,,,Ascended Heroes,2026-07-12T18:05:08.999Z,EUR,869650.0,0.07,0.02,0.08,0.16,0.07,0.08,,,0.0,,,,2026-07-12T18:05:07.270Z,USD,,,,,,,675851.0,0.01,0.29,19.98,0.27,0.25,,,,,,,,,,,,,,,,,,
sm12-40,Psyduck,40,Common,,,Cosmic Eclipse,2026-07-12T18:05:08.999Z,EUR,407849.0,0.62,0.02,0.87,0.35,1.17,0.54,17.89,9.98,16.6,30.0,21.56,11.5,2026-07-12T18:05:07.097Z,USD,,,,,,,201216.0,1.59,2.75,39.69,2.68,,201216.0,19.99,26.04,186.35,24.8,29.02,,,,,,,,,,,,
ex4-44,Psyduck,44,Common,,,Team Magma vs Team Aqua,2026-07-12T18:05:08.999Z,EUR,276021.0,10.43,0.5,14.05,4.5,12.38,10.43,125.0,17.0,110.47,54.99,132.14,64.36,2026-07-12T18:05:06.264Z,USD,,,,,,,88436.0,24.0,37.99,459.7,29.49,,88436.0,299.0,327.5,1299.62,249.99,,,,,,,,,,,,,
sv10-045,Misty's Psyduck,045,Uncommon,,,Destined Rivals,2026-07-12T18:05:08.999Z,EUR,825919.0,0.07,0.02,0.08,0.1,0.07,0.07,0.39,0.02,0.42,0.78,0.45,0.42,2026-07-12T18:05:07.246Z,USD,,,,,,,630812.0,0.01,0.29,19.98,0.29,0.23,630812.0,0.24,1.0,25.0,0.82,1.01,,,,,,,,,,,,
base3-53,Psyduck,53,Common,,,Fossil,2026-07-12T18:05:08.999Z,EUR,273914.0,2.01,0.02,2.51,2.4,2.4,2.05,,,1.03,1.0,0.72,0.72,2026-07-12T18:05:06.146Z,USD,,,,,,,,,,,,,,,,,,,44455.0,6.0,9.99,4321.0,11.08,7.49,44455.0,0.19,1.17,96.95,1.39,0.89
gym1-54,Misty's Psyduck,54,Uncommon,,,Gym Heroes,2026-07-12T18:05:08.999Z,EUR,274190.0,10.3,0.75,9.7,6.0,14.48,10.37,,,0.0,,,,2026-07-12T18:05:06.162Z,USD,,,,,,,,,,,,,,,,,,,87539.0,24.46,286.0,329.88,28.2,329.88,87539.0,3.5,7.99,109.35,9.35,89.99
sv03.5-054,Psyduck,054,Common,,,151,2026-07-12T18:05:08.999Z,EUR,733649.0,0.07,0.02,0.09,0.11,0.09,0.07,0.31,0.02,0.28,0.19,0.37,0.33,2026-07-12T18:05:07.183Z,USD,,,,,,,516231.0,0.03,0.22,1000.0,0.2,,516231.0,0.16,0.47,99.0,0.52,,,,,,,,,,,,,
base5-65,Psyduck,65,Common,,,Team Rocket,2026-07-12T18:05:09.094Z,EUR,274118.0,2.37,0.05,3.77,4.03,4.59,2.52,,,4.71,5.0,1.87,1.87,2026-07-12T18:05:06.157Z,USD,,,,,,,,,,,,,,,,,,,88431.0,3.97,7.99,82.72,7.59,4.92,88431.0,0.35,1.15,4321.0,2.11,0.97
ex7-70,Psyduck,70,Common,,,Team Rocket Returns,2026-07-12T18:05:08.999Z,EUR,276362.0,17.56,4.9,15.33,24.9,14.07,15.94,209.98,124.95,206.62,199.9,171.41,136.14,2026-07-12T18:05:06.281Z,USD,,,,,,,88437.0,18.38,29.44,149.99,30.26,42.28,,,,,,,,,,,,,,,,,,
ex2-73,Psyduck,73,Common,,,Sandstorm,2026-07-12T18:05:09.094Z,EUR,275850.0,6.52,0.1,8.45,12.99,9.23,7.36,15.0,3.5,37.06,15.0,28.9,23.12,2026-07-12T18:05:06.251Z,USD,,,,,,,88432.0,12.24,18.2,144.91,17.1,14.79,88432.0,224.99,450.0,852.52,226.56,,,,,,,,,,,,,
hgss4-74,Psyduck,74,Common,,,Triumphant,2026-07-12T18:05:09.094Z,EUR,279604.0,3.89,0.04,6.41,5.5,3.92,4.47,,35.0,42.5,26.95,38.76,28.4,2026-07-12T18:05:06.903Z,USD,,,,,,,88440.0,8.51,15.94,120.7,17.42,,88440.0,73.35,79.75,105.0,51.09,,,,,,,,,,,,,
neo4-79,Psyduck,79,Common,,,Neo Destiny,2026-07-12T18:05:09.094Z,EUR,274731.0,9.03,0.2,11.5,2.67,14.99,8.96,,,0.0,,,,2026-07-12T18:05:06.197Z,USD,,,,,,,,,,,,,,,,,,,88433.0,41.48,99.99,1200.0,52.5,,88433.0,22.24,31.55,4321.0,31.4,
ex13-81,Psyduck δ,81,Common,,,Holon Phantoms,2026-07-12T18:05:08.999Z,EUR,277051.0,5.86,0.8,4.0,7.92,6.39,9.14,143.06,54.5,147.01,111.11,147.3,89.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl1-87,Psyduck,87,Common,,,Platinum,2026-07-12T18:05:08.999Z,EUR,278508.0,7.14,0.2,7.57,7.37,7.77,7.25,62.5,15.0,41.36,55.0,42.16,29.09,2026-07-12T18:05:06.871Z,USD,,,,,,,88439.0,14.21,26.94,200.0,26.24,,88439.0,99.99,249.98,1399.9,149.99,,,,,,,,,,,,,
lc-88,Psyduck,88,Common,,,Legendary Collection,2026-07-12T18:05:08.999Z,EUR,274853.0,4.18,0.13,6.9,6.0,4.38,6.4,,249.9,312.07,349.99,300.91,174.46,2026-07-12T18:05:06.207Z,USD,,,,,,,88434.0,3.7,5.05,706.54,9.36,199.89,,,,,,,,,,,,,,,,,,
gym2-90,Misty's Psyduck,90,Common,,,Gym Challenge,2026-07-12T18:05:08.999Z,EUR,274358.0,8.19,1.35,9.47,7.25,9.86,8.09,,,0.0,,,,2026-07-12T18:05:06.167Z,USD,,,,,,,,,,,,,,,,,,,87540.0,18.99,30.99,210.0,27.25,96.95,87540.0,3.48,7.25,28322.14,8.18,
gym2-99,Sabrina's Psyduck,99,Common,,,Gym Challenge,2026-07-12T18:05:08.999Z,EUR,274367.0,20.22,1.49,15.09,3.97,13.72,16.67,,,0.0,,,,2026-07-12T18:05:06.167Z,USD,,,,,,,,,,,,,,,,,,,88887.0,13.5,24.94,179.9,24.21,,88887.0,3.25,9.76,96.95,10.48,4.64
dp3-100,Psyduck,100,Common,,,Secret Wonders,2026-07-12T18:05:08.999Z,EUR,277853.0,2.27,0.02,2.11,4.63,2.09,2.26,15.33,1.0,23.46,25.0,15.24,14.33,2026-07-12T18:05:06.836Z,USD,,,,,,,88438.0,4.36,12.17,90.0,12.55,,88438.0,99.99,324.99,897.24,40.43,299.99,,,,,,,,,,,,
ecard2-104,Psyduck,104,Common,,,Aquapolis,2026-07-12T18:05:08.999Z,EUR,275180.0,75.53,24.9,92.21,99.95,93.82,66.89,274.33,199.94,303.17,260.0,270.85,177.34,2026-07-12T18:05:06.230Z,USD,,,,,,,88435.0,229.99,262.5,279.99,167.5,,,,,,,,,,,,,,,,,,,
sv03.5-175,Psyduck,175,Illustration rare,,,151,2026-07-12T18:05:08.999Z,EUR,733770.0,57.81,38.0,54.84,56.49,55.72,56.8,,,0.0,,,,2026-07-12T18:05:07.183Z,USD,517035.0,65.99,82.99,5000.0,74.75,77.99,,,,,,,,,,,,,,,,,,,,,,,,
sv10-193,Misty's Psyduck,193,Illustration rare,,,Destined Rivals,2026-07-12T18:05:08.999Z,EUR,826067.0,57.7,25.0,64.01,55.7,50.78,55.23,,,0.0,,,,2026-07-12T18:05:07.246Z,USD,632993.0,68.51,78.99,550.0,68.4,69.99,,,,,,,,,,,,,,,,,,,,,,,,
sm11-217,Slowpoke & Psyduck GX,217,Ultra Rare,,,Unified Minds,2026-07-12T18:05:08.999Z,EUR,388872.0,74.99,22.0,92.25,75.0,97.49,82.21,,,14.95,11.95,14.84,10.99,2026-07-12T18:05:07.088Z,USD,194954.0,175.0,243.49,873.35,137.5,248.69,,,,,,,,,,,,,,,,,,,,,,,,
sm11-218,Slowpoke & Psyduck GX,218,Ultra Rare,,,Unified Minds,2026-07-12T18:05:08.999Z,EUR,849811.0,69.99,48.0,68.04,69.99,39.28,35.0,,,0.0,,,,2026-07-12T18:05:07.088Z,USD,194955.0,389.52,419.97,499.61,306.63,419.97,,,,,,,,,,,,,,,,,,,,,,,,
me02.5-226,Psyduck,226,Illustration rare,,,Ascended Heroes,2026-07-12T18:05:08.999Z,EUR,869837.0,66.23,21.9,56.31,60.39,55.2,61.6,,,0.0,,,,2026-07-12T18:05:07.270Z,USD,676038.0,78.0,98.24,899.99,82.9,87.58,,,,,,,,,,,,,,,,,,,,,,,,
sm11-239,Slowpoke & Psyduck GX,239,Secret Rare,,,Unified Minds,2026-07-12T18:05:08.999Z,EUR,388987.0,85.21,19.9,101.68,29.9,80.98,91.78,,,25.75,16.9,21.84,18.6,2026-07-12T18:05:07.088Z,USD,194956.0,225.41,300.0,1369.9,194.17,,,,,,,,,,,,,,,,,,,,,,,,,
