id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-001,Weedle,001,Common,,2026-07-07T18:05:09.149Z,EUR,886393,0.05,0.02,0.04,0.04,0.04,0.05,0.11,0.02,0.08,0.06,0.09,0.11,2026-07-07T18:05:06.951Z,USD,693561.0,0.01,0.25,2.75,0.24,0.4,693561.0,0.01,0.15,5.0,0.1,,,,,,,
me04-002,Kakuna,002,Common,,2026-07-07T18:05:09.041Z,EUR,886394,0.06,0.02,0.05,0.03,0.04,0.06,0.12,0.02,0.08,0.1,0.09,0.12,2026-07-07T18:05:06.951Z,USD,693502.0,0.04,0.27,1.99,0.3,0.99,693502.0,0.01,0.16,2.99,0.12,0.05,,,,,,
me04-003,Beedrill ex,003,Double rare,,2026-07-07T18:05:09.041Z,EUR,886395,1.17,0.2,0.85,0.84,0.88,1.14,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693453.0,0.25,1.0,60.0,0.62,0.75
me04-004,Carnivine,004,Common,,2026-07-07T18:05:09.149Z,EUR,886396,0.03,0.02,0.02,0.02,0.02,0.03,0.07,0.02,0.06,0.04,0.06,0.06,2026-07-07T18:05:06.951Z,USD,693459.0,0.01,0.2,1.53,0.18,0.05,693459.0,0.01,0.14,1.6,0.11,0.01,,,,,,
me04-005,Chespin,005,Common,,2026-07-07T18:05:09.041Z,EUR,886397,0.04,0.02,0.02,0.02,0.03,0.03,0.08,0.02,0.08,0.04,0.05,0.07,2026-07-07T18:05:06.951Z,USD,693461.0,0.01,0.22,2.99,0.22,0.07,693461.0,0.01,0.15,1.6,0.13,0.01,,,,,,
me04-006,Quilladin,006,Common,,2026-07-07T18:05:09.149Z,EUR,886398,0.04,0.02,0.02,0.02,0.03,0.03,0.1,0.02,0.08,0.11,0.09,0.09,2026-07-07T18:05:06.951Z,USD,693537.0,0.02,0.25,4.99,0.25,0.09,693537.0,0.01,0.17,2.99,0.15,0.01,,,,,,
me04-007,Chesnaught,007,Rare,,2026-07-07T18:05:09.041Z,EUR,886399,0.07,0.02,0.04,0.08,0.05,0.05,0.12,0.02,0.08,0.09,0.1,0.1,2026-07-07T18:05:06.951Z,USD,693460.0,0.02,0.24,2.0,0.21,0.07,,,,,,,693460.0,0.01,0.2,5.0,0.15,0.05
me04-008,Vulpix,008,Common,,2026-07-07T18:05:09.041Z,EUR,886400,0.03,0.02,0.02,0.03,0.03,0.03,0.11,0.02,0.09,0.11,0.08,0.09,2026-07-07T18:05:06.951Z,USD,693558.0,0.01,0.24,1.94,0.19,0.05,693558.0,0.01,0.15,21.0,0.14,0.01,,,,,,
me04-009,Ninetales,009,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886401,0.03,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.1,0.08,0.09,0.09,2026-07-07T18:05:06.951Z,USD,693526.0,0.03,0.25,2.5,0.21,0.08,693526.0,0.01,0.15,2.0,0.11,0.01,,,,,,
me04-010,Ho-Oh,010,Rare,,2026-07-07T18:05:09.149Z,EUR,886402,0.05,0.02,0.06,0.05,0.06,0.05,0.1,0.02,0.09,0.14,0.1,0.1,2026-07-07T18:05:06.951Z,USD,693500.0,0.01,0.25,2.99,0.24,0.09,,,,,,,693500.0,0.01,0.2,2.99,0.2,0.05
me04-011,Fennekin,011,Common,,2026-07-07T18:05:09.041Z,EUR,886403,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.08,0.07,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693484.0,0.01,0.24,2.99,0.26,0.09,693484.0,0.01,0.15,1.6,0.11,0.01,,,,,,
me04-012,Braixen,012,Common,,2026-07-07T18:05:09.149Z,EUR,886404,0.03,0.02,0.03,0.04,0.03,0.03,0.1,0.02,0.08,0.05,0.09,0.1,2026-07-07T18:05:06.951Z,USD,693457.0,0.03,0.24,3.0,0.22,0.08,693457.0,0.01,0.15,2.99,0.14,0.01,,,,,,
me04-013,Delphox,013,Rare,,2026-07-07T18:05:09.149Z,EUR,888552,1.46,0.5,1.27,1.22,1.21,1.38,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,693473.0,0.01,0.26,3.31,0.23,0.08,,,,,,,693473.0,0.01,0.2,3.49,0.17,0.05
me04-014,Litleo,014,Common,,2026-07-07T18:05:10.032Z,EUR,886406,0.03,0.02,0.02,0.02,0.02,0.02,0.08,0.02,0.05,0.06,0.07,0.07,2026-07-07T18:05:06.951Z,USD,693505.0,0.01,0.2,25.0,0.14,0.05,693505.0,0.01,0.14,1.6,0.12,0.01,,,,,,
me04-015,Mega Pyroar ex,015,Double rare,,2026-07-07T18:05:09.041Z,EUR,886407,0.46,0.07,0.42,0.37,0.44,0.45,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693519.0,0.04,0.7,125.0,0.58,0.58
me04-016,Remoraid,016,Common,,2026-07-07T18:05:10.032Z,EUR,886408,0.03,0.02,0.03,0.04,0.03,0.02,0.07,0.02,0.06,0.09,0.07,0.07,2026-07-07T18:05:06.951Z,USD,693539.0,0.01,0.2,2.75,0.21,0.01,693539.0,0.01,0.15,2.99,0.1,0.01,,,,,,
me04-017,Octillery,017,Common,,2026-07-07T18:05:09.041Z,EUR,886409,0.03,0.02,0.03,0.03,0.02,0.03,0.08,0.02,0.07,0.07,0.07,0.08,2026-07-07T18:05:06.951Z,USD,693528.0,0.01,0.25,2.99,0.26,0.09,693528.0,0.01,0.15,2.99,0.12,0.01,,,,,,
me04-018,Delibird,018,Uncommon,,2026-07-07T18:05:09.141Z,EUR,886410,0.04,0.02,0.02,0.03,0.02,0.03,0.09,0.02,0.08,0.07,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693472.0,0.01,0.22,11.0,0.2,0.07,693472.0,0.01,0.13,1.61,0.03,0.01,,,,,,
me04-019,Keldeo,019,Rare,,2026-07-07T18:05:09.041Z,EUR,886411,0.05,0.02,0.05,0.05,0.05,0.05,0.11,0.02,0.09,0.12,0.09,0.09,2026-07-07T18:05:06.951Z,USD,693503.0,0.01,0.24,3.5,0.23,0.07,,,,,,,693503.0,0.01,0.16,9.87,0.13,0.05
me04-020,Froakie,020,Common,,2026-07-07T18:05:09.041Z,EUR,886412,0.05,0.02,0.06,0.09,0.06,0.05,0.12,0.02,0.09,0.07,0.1,0.12,2026-07-07T18:05:06.951Z,USD,693488.0,0.01,0.25,2.99,0.25,0.49,693488.0,0.01,0.16,2.99,0.07,,,,,,,
