id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me05-001,Tropius,001,Common,,2026-07-26T08:03:04.532Z,EUR,895789,0.03,0.02,0.03,0.03,0.03,0.03,0.08,0.02,0.08,0.07,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704758.0,0.01,0.15,1.65,0.06,0.04,704758.0,0.01,0.18,2.0,0.15,0.1,,,,,,
me05-002,Grubbin,002,Common,,2026-07-26T08:03:04.532Z,EUR,895790,0.03,0.02,0.02,0.02,0.02,0.03,0.07,0.02,0.09,0.13,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704759.0,0.01,0.14,1.65,0.05,0.01,704759.0,0.01,0.18,1.65,0.14,0.1,,,,,,
me05-003,Fomantis,003,Common,,2026-07-26T08:03:04.532Z,EUR,895791,0.04,0.02,0.04,0.03,0.04,0.04,0.09,0.02,0.09,0.06,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704760.0,0.01,0.15,1.65,0.06,0.02,704760.0,0.01,0.2,4.0,0.17,0.12,,,,,,
me05-004,Lurantis ex,004,Double rare,,2026-07-26T08:03:04.532Z,EUR,895792,0.49,0.02,0.26,0.31,0.39,0.43,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704761.0,0.1,0.55,25.0,0.53,2.35
me05-005,Poltchageist,005,Common,,2026-07-26T08:03:04.532Z,EUR,895793,0.08,0.02,0.03,0.06,0.05,0.07,0.19,0.02,0.02,0.17,0.15,0.18,2026-07-26T08:03:42.224Z,USD,704762.0,0.01,0.15,2.2,0.13,0.05,704762.0,0.01,0.25,3.22,0.25,0.41,,,,,,
me05-006,Sinistcha,006,Uncommon,,2026-07-26T08:03:04.532Z,EUR,895794,0.09,0.02,0.02,0.05,0.06,0.09,0.21,0.02,0.02,0.19,0.18,0.2,2026-07-26T08:03:42.224Z,USD,704763.0,0.01,0.15,2.2,0.13,0.05,704763.0,0.02,0.25,4.99,0.23,0.15,,,,,,
me05-007,Heatran,007,Uncommon,,2026-07-26T08:03:04.571Z,EUR,895795,0.03,0.02,0.04,0.05,0.03,0.03,0.1,0.02,0.1,0.11,0.09,0.1,2026-07-26T08:03:42.224Z,USD,704764.0,0.01,0.15,3.49,0.05,0.05,704764.0,0.01,0.2,2.0,0.15,0.12,,,,,,
me05-008,Mega Delphox ex,008,Double rare,,2026-07-26T08:03:04.571Z,EUR,895796,0.78,0.08,0.45,0.61,0.69,0.77,,,0.0,,,,2026-07-26T08:03:42.224Z,USD,,,,,,,,,,,,,704765.0,0.24,0.75,40.0,0.62,3.0
me05-009,Sizzlipede,009,Common,,2026-07-26T08:03:04.572Z,EUR,895797,0.03,0.02,0.03,0.03,0.02,0.03,0.08,0.02,0.09,0.11,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704766.0,0.01,0.12,1.65,0.04,0.04,704766.0,0.01,0.17,1.65,0.15,0.06,,,,,,
me05-010,Centiskorch,010,Common,,2026-07-26T08:03:04.571Z,EUR,895798,0.03,0.02,0.03,0.03,0.03,0.03,0.07,0.02,0.07,0.08,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704767.0,0.01,0.14,1.65,0.05,0.04,704767.0,0.01,0.15,1.95,0.11,0.08,,,,,,
me05-011,Charcadet,011,Common,,2026-07-26T08:03:04.438Z,EUR,895799,0.02,0.02,0.04,0.05,0.03,0.03,0.2,0.02,0.03,0.08,0.07,0.08,2026-07-26T08:03:42.224Z,USD,704768.0,0.01,0.15,1.65,0.05,0.02,704768.0,0.01,0.2,25.0,0.14,0.1,,,,,,
me05-012,Armarouge,012,Rare,,2026-07-26T08:03:04.674Z,EUR,895800,0.06,0.02,0.06,0.08,0.06,0.06,0.13,0.02,0.17,0.2,0.14,0.14,2026-07-26T08:03:42.224Z,USD,,,,,,,704769.0,0.07,0.26,1.59,0.29,0.25,704769.0,0.01,0.16,1.65,0.13,0.05
me05-013,Goldeen,013,Common,,2026-07-26T08:03:04.571Z,EUR,895801,0.03,0.02,0.03,0.03,0.03,0.03,0.11,0.02,0.1,0.09,0.08,0.1,2026-07-26T08:03:42.224Z,USD,704770.0,0.01,0.14,1.95,0.04,0.04,704770.0,0.02,0.19,1.66,0.1,0.1,,,,,,
me05-014,Seaking,014,Uncommon,,2026-07-26T08:03:04.377Z,EUR,895802,0.03,0.02,0.02,0.03,0.03,0.03,0.09,0.02,0.08,0.09,0.08,0.09,2026-07-26T08:03:42.224Z,USD,704771.0,0.01,0.15,1.95,0.04,0.02,704771.0,0.01,0.2,2.99,0.18,0.09,,,,,,
